C10, 35.84, 31.06, 180.00, 0.1uF, 0603-CAP
C11, 39.01, 28.88, 180.00, 1uF, 0603-CAP
C12, 39.01, 30.91, 180.00, 0.1uF, 0603-CAP
C13, 41.78, 26.77, 0.00, 1uF, 0603-CAP
C14, 41.55, 29.69, 270.00, 0.1uF, 0603-CAP
C39, 48.36, 16.03, 0.00, 100nF, 0603-CAP
C63, 43.26, 33.63, 0.00, 0.1uF, 0603-CAP
C67, 48.28, 3.05, 270.00, 0.1uF, 0603-CAP
C69, 48.02, 13.29, 270.00, 0.1uF, 0603-CAP
C7, 35.81, 26.70, 0.00, 1uF, 0603-CAP
C8, 35.81, 24.61, 0.00, 0.1uF, 0603-CAP
C9, 35.84, 29.03, 180.00, 1uF, 0603-CAP
R12, 80.01, 5.71, 270.00, 0R, 0603-RES
R13, 83.19, 5.08, 0.00, 0R, 0603-RES
R14, 70.48, 5.08, 0.00, 0R, 0603-RES
R15, 76.20, 5.71, 90.00, 0R, 0603-RES
R16, 63.88, 4.45, 0.00, 0R, 0603-RES
R17, 73.66, 5.08, 0.00, 0R, 0603-RES
R2, 55.36, 14.43, 0.00, 10k, 0603-RES
R7, 58.63, 4.93, 0.00, 1k, 0603-RES
R8, 59.26, 7.61, 0.00, 270, 0603-RES
R9, 48.34, 18.14, 0.00, 10k, 0603-RES
U2, 52.71, 8.89, 270.00, MAX14483AAP+, 21-0056C_20_MXM
